modele,prix,prix_texte,url_modele,brand
Hyundai i30 Fastback,94950,94 950DT,https://www.automobile.tn/fr/neuf/hyundai/i30-fastback,hyundai
Hyundai Creta,118950,118 950DT,https://www.automobile.tn/fr/neuf/hyundai/creta/1.5-l-bva,hyundai
Hyundai Kona Electric,123900,123 900DT,https://www.automobile.tn/fr/neuf/hyundai/kona-ev/bva,hyundai
Hyundai Kona,137000,137 000DT,https://www.automobile.tn/fr/neuf/hyundai/kona,hyundai
Hyundai Tucson,180000,180 000DT,https://www.automobile.tn/fr/neuf/hyundai/tucson/1.6-l-t-gdi-7-dct-4wd-top-grade,hyundai
NouveauHyundai Tucson Hybride,169950,169 950DT,https://www.automobile.tn/fr/neuf/hyundai/tucson-hybride,hyundai
Hyundai Ioniq 5,168950,168 950DT,https://www.automobile.tn/fr/neuf/hyundai/ioniq-5,hyundai
NouveauHyundai Ioniq 5 N,249950,249 950DT,https://www.automobile.tn/fr/neuf/hyundai/ioniq-5-n/84-kwh-4wd,hyundai
Hyundai Ioniq 6,199950,199 950DT,https://www.automobile.tn/fr/neuf/hyundai/ioniq-6,hyundai
Hyundai Azera Hybride,249950,249 950DT,https://www.automobile.tn/fr/neuf/hyundai/azera-hybride/1.6-l-t-gdi-bva-6-2wd-calligraphy,hyundai
Hyundai Palisade Calligraphy,350000,350 000DT,https://www.automobile.tn/fr/neuf/hyundai/palisade-calligraphy,hyundai
Hyundai Staria 11 places,159600,159 600DT,https://www.automobile.tn/fr/neuf/hyundai/staria/2.2-crdi,hyundai
Hyundai Staria 9 places,199950,199 950DT,https://www.automobile.tn/fr/neuf/hyundai/staria-9-places,hyundai
JAC T8 Pro Double Cabine,105000,105 000DT,https://www.automobile.tn/fr/neuf/jac/t8-dc/2.0-l-cti-diesel-4x4,jac
Jaguar E-Pace,369000,369 000DT,https://www.automobile.tn/fr/neuf/jaguar/e-pace/2.0-d-163-2025-r-dynamic-s,jaguar
Jaguar F-Pace,425000,425 000DT,https://www.automobile.tn/fr/neuf/jaguar/f-pace/2.0-t-250-2025-r-dynamic-s,jaguar
Jeep Renegade,126500,126 500DT,https://www.automobile.tn/fr/neuf/jeep/renegade/1.4-turbo-limited-bva-4x2,jeep
Jeep Wrangler,327000,327 000DT,https://www.automobile.tn/fr/neuf/jeep/wrangler-2021/2.0-l-rubicon,jeep
Jeep Wrangler Unlimited,375000,375 000DT,https://www.automobile.tn/fr/neuf/jeep/wrangler-unlimited,jeep
Jetour Dashing,10950023950,109 500DT23 950 € HT,https://www.automobile.tn/fr/neuf/jetour/dashing/1.5-turbo-bva,jetour
Jetour X70 Plus,119500,119 500DT,https://www.automobile.tn/fr/neuf/jetour/x70-plus/1.5-turbo,jetour
NouveauJetour T2,19800039500,198 000DT39 500 € HT,https://www.automobile.tn/fr/neuf/jetour/t2/2.0-turbo,jetour
NouveauJMC Vigus Simple Cabine,69900,69 900DT,https://www.automobile.tn/fr/neuf/jmc/vigus-simple-cabine/2.5-l-diesel-4x2,jmc
